KundenNr,Nachname,Bonitaet,Land,Geschlecht,Alter,Dauer,Konto,NrProdukte,HatCrKarte,Aktiv,Gesch_Einkommen,Austritt
139706490,Worsnop,764,Deutschland,m,41,7,0.0,2,0,0,134878.34,0
139899045,Hammond,568,England,m,39,5,0.0,2,1,1,129569.92,0
139777695,Chimaobim,706,England,m,42,9,0.0,2,1,1,28714.34,0
139798139,Lo,817,Deutschland,f,37,6,81070.34,2,1,0,80985.88,0
139796763,Chiang,767,Deutschland,m,36,3,139180.2,1,0,0,123880.19,0
139856316,Robertson,657,Frankreich,f,48,5,143595.87,1,0,0,101314.65,1
139724540,Power,605,Deutschland,f,33,4,0.0,2,0,1,83700.66,0
139679221,Johnston,690,Frankreich,f,54,1,144027.8,1,1,1,108731.02,1
139809689,Marino,658,Deutschland,f,24,2,0.0,2,1,1,84694.49,0
139918214,Ulyanov,753,Deutschland,f,40,0,3768.69,2,1,0,177065.24,1
139746540,Wilson,599,Frankreich,m,39,2,188976.89,2,0,1,176142.09,0
139718838,Iroawuchi,679,Deutschland,f,33,9,112528.65,2,1,0,177362.45,0
139755262,Dellucci,714,Deutschland,f,25,4,0.0,2,0,0,82500.84,0
139700880,Huang,466,Deutschland,m,26,3,156815.71,1,1,1,137476.09,0
139856049,Ch'ien,832,England,m,29,8,93833.86,1,0,1,10417.87,0
139717108,Aiken,673,Frankreich,f,69,3,78833.15,2,1,1,37196.15,0
139919625,Young,478,England,f,36,3,92363.3,2,1,0,44912.7,0
139896849,Onyemaechi,446,Deutschland,f,51,4,105056.13,1,0,0,70613.52,0
139782765,Bidwill,724,Frankreich,m,30,7,115315.04,1,1,0,15216.53,0
139792775,Burgess,437,Deutschland,f,43,6,0.0,1,1,0,148330.97,1
139817361,Maclean,725,Deutschland,m,31,8,0.0,2,1,1,59650.42,0
139822759,Pai,771,Deutschland,m,27,2,0.0,2,1,1,199527.34,0
139796088,Lettiere,704,Frankreich,m,41,9,62078.21,2,1,0,129050.67,0
139791106,Moore,488,Deutschland,f,36,0,0.0,2,1,0,136675.22,0
139840802,Grant,837,Deutschland,f,29,9,0.0,2,1,1,41866.26,0
139829072,Ko,632,Frankreich,m,42,6,59972.26,2,0,1,148172.94,0
139759904,Tsao,688,England,m,37,7,138162.41,2,1,1,113926.31,0
139892477,Smith,796,England,m,67,5,0.0,2,0,1,54871.02,0
139902042,Yuryeva,756,Frankreich,f,39,5,149363.12,2,1,1,109098.39,0
139725323,Wilson,591,England,m,58,5,128468.69,1,0,1,137254.55,0
139802839,Mazzanti,405,Frankreich,m,31,5,133299.67,2,1,1,72950.14,0
139910599,Simpson,569,England,m,38,8,0.0,2,0,0,79618.79,0
139790726,Norton,694,Deutschland,f,33,4,129731.64,2,1,0,178123.86,0
139731948,Doherty,594,England,f,24,0,97378.54,1,1,1,71405.17,0
139871957,Hill,789,Frankreich,f,43,9,116644.29,2,1,1,60176.1,0
139714372,Yao,728,England,f,37,4,0.0,1,0,0,4539.38,0
139757064,Townsend,811,England,m,44,3,0.0,2,0,1,78439.73,0
139767075,Clunie,655,Deutschland,m,27,2,131691.33,1,1,0,49480.66,0
139912236,Sinclair,477,Frankreich,f,39,4,182491.57,1,1,0,185830.72,0
139721086,Ferrari,752,Frankreich,m,32,9,115587.49,2,0,1,101677.46,0
139750053,Maclean,635,Frankreich,f,65,5,117325.54,1,1,0,155799.86,1
139770679,Manna,781,England,m,33,3,0.0,2,1,1,42556.33,0
139819805,Preston,793,Deutschland,m,63,4,103729.79,2,1,1,80272.06,0
139783052,Abramowitz,701,Deutschland,m,44,7,0.0,2,1,0,23425.78,0
139751105,Toscani,710,Deutschland,m,38,2,0.0,2,1,0,96.27,0
139771000,Trevisani,811,Frankreich,f,28,4,167738.82,2,1,1,9903.42,0
139733625,Mitchell,628,Frankreich,f,28,3,153538.13,2,1,0,110776.01,0
139821893,Lawrence,848,England,m,22,7,120811.89,1,1,1,185510.34,0
139768344,Fanucci,615,Deutschland,m,59,8,0.0,2,1,1,165576.55,0
139725477,Stephenson,607,Frankreich,m,61,2,164523.5,2,1,1,35786.76,0
139870212,Everingham,625,Deutschland,f,44,7,0.0,1,1,0,4791.8,0
139679487,Fu,508,Deutschland,f,31,7,0.0,2,1,1,6123.15,0
139782181,Yashina,733,Frankreich,m,45,2,113939.36,2,1,0,3218.71,0
139894073,Ingamells,543,Deutschland,m,35,5,137482.19,1,0,0,62389.35,0
139772950,Okwuoma,587,England,m,45,6,0.0,1,0,0,158684.81,0
139698357,Arcuri,659,Deutschland,m,36,6,123841.49,2,1,0,96833.0,0
139877606,Chiekwugo,676,Deutschland,m,38,1,0.0,2,0,1,35644.79,0
139789649,Ferguson,464,Deutschland,m,46,6,161798.53,1,1,0,182944.47,0
139870279,Ikechukwu,675,England,m,36,3,54098.18,2,0,1,54478.52,0
139901855,Oluchukwu,471,England,m,26,8,0.0,2,1,1,179655.87,0
139830282,Chiemenam,850,Frankreich,f,38,2,102741.15,2,0,1,23974.85,0
139768160,Stephens,687,Deutschland,f,30,6,0.0,2,0,0,179206.92,0
139701770,Conti,604,Frankreich,f,42,10,166031.45,1,1,0,98293.14,0
139815150,Timperley,656,Deutschland,m,44,10,143571.52,1,0,0,127444.14,0
139703020,Greece,584,Deutschland,m,35,3,146311.58,1,1,1,105443.47,0
139710846,Porter,577,Deutschland,m,60,10,125389.7,2,1,1,178616.73,0
139727067,Heller,605,Deutschland,f,28,6,0.0,2,0,0,159508.52,0
139918682,Stewart,664,Deutschland,f,34,7,93920.47,1,0,0,179913.98,0
139805852,Brown,647,Frankreich,f,22,3,97975.82,2,0,1,62083.0,0
139775941,Russell,508,Deutschland,m,26,7,205962.0,1,1,0,156424.4,0
139853766,Russo,541,Deutschland,m,39,7,0.0,2,1,0,19823.02,0
139917770,Holt,800,Deutschland,f,40,3,75893.11,2,1,0,132562.23,0
139830216,Doyle,638,Deutschland,f,32,0,0.0,2,1,0,160129.99,0
139853977,Christie,527,Frankreich,f,28,2,123802.98,2,1,1,155846.69,0
139899291,Gorbunov,602,England,m,30,9,113672.18,2,0,0,102135.92,0
139822624,Hart,589,Deutschland,f,50,4,0.0,2,0,1,182076.97,0
139823015,Dickson,705,Frankreich,f,31,9,110941.93,2,1,0,163484.8,0
139783358,Shih,649,Deutschland,m,46,5,0.0,2,1,1,76946.6,0
139704259,Lo,623,Frankreich,f,48,1,108076.33,1,1,0,118855.26,1
139812609,Carter,660,Deutschland,m,40,5,131754.11,2,1,1,38761.61,0
139688717,Yang,549,Frankreich,f,43,3,134985.66,1,1,0,6101.41,0
139885979,Kirillova,607,Deutschland,f,32,6,0.0,2,0,0,196062.01,0
139774105,Parry,573,Deutschland,f,30,6,0.0,2,1,0,66190.21,0
139791213,Sims,611,Deutschland,f,61,3,131583.59,4,0,1,66238.23,1
139836066,Kenenna,704,Frankreich,f,24,7,113034.22,1,1,0,162503.48,1
139689356,Wu,651,Deutschland,f,32,8,144581.96,1,1,1,87609.5,0
139872011,Potter,593,Frankreich,f,38,5,142658.04,2,0,1,135337.11,0
139722531,Okechukwu,790,Deutschland,f,31,9,0.0,2,1,0,84126.75,0
139865412,Gibson,724,England,m,45,5,83888.54,1,0,1,34121.81,0
139909882,Kung,714,England,m,25,2,0.0,1,1,1,132979.43,0
139845240,Kodilinyechukwu,506,Deutschland,m,36,5,0.0,2,1,0,164253.35,0
139770389,Kerr,579,Frankreich,m,40,10,45408.85,2,1,0,18732.91,0
139875190,Wood,732,Deutschland,m,36,7,0.0,2,1,1,60830.24,0
139794964,Grant,594,Frankreich,m,28,0,142574.71,2,1,0,129084.82,0
139873775,Castillo,568,Frankreich,f,31,1,61592.14,2,1,1,61796.64,0
139680277,Uren,698,England,m,27,6,125427.37,2,0,0,27654.44,0
139778425,Russo,629,Frankreich,f,38,9,123948.85,1,1,0,76053.07,0
139912857,Stobie,767,Deutschland,f,35,2,0.0,2,0,0,144251.38,0
139683803,Ferguson,683,Deutschland,m,30,10,57657.49,1,0,0,79240.9,0
139790993,Yeh,743,Deutschland,m,32,9,0.0,2,1,0,175252.78,0
139856523,Ferri,634,Deutschland,m,26,8,0.0,1,1,0,21760.96,0
139846391,Young,601,England,m,24,7,0.0,2,0,0,144660.42,0
139884241,Golubev,711,England,f,28,5,0.0,2,1,1,93959.96,0
139837489,Seccombe,712,Deutschland,f,27,2,133009.51,1,1,0,126809.15,0
139921442,Yeh,709,Deutschland,f,41,3,150300.65,2,1,0,71672.86,0
139812724,Reed,511,Deutschland,m,27,8,0.0,2,1,1,49089.36,0
139918876,Castiglione,570,Deutschland,f,43,9,0.0,2,0,1,11417.26,0
139842148,Davison,715,Deutschland,m,37,9,165252.52,1,1,0,85286.3,0
139739291,T'an,683,Deutschland,m,38,7,109346.13,2,1,0,102665.92,0
139757719,Fu,831,Deutschland,f,32,2,146033.62,1,1,0,191260.74,0
139693176,Calabrese,781,Deutschland,f,28,4,0.0,2,1,0,177703.15,0
139761731,Uspensky,634,Frankreich,m,35,6,116269.01,1,1,0,129964.94,0
139860363,Lo,561,Deutschland,f,49,8,0.0,2,1,1,12513.07,0
139876845,Ifeajuna,520,Deutschland,f,39,6,145644.05,1,0,0,104118.93,0
139869974,Tai,732,Deutschland,f,40,10,0.0,2,1,0,154189.08,0
139806908,Golibe,638,Deutschland,f,36,6,0.0,1,1,0,164247.51,0
139737118,Leckie,569,Deutschland,m,36,1,67087.69,1,1,0,154775.7,0
139714646,Mao,650,Deutschland,f,27,6,0.0,2,1,0,1002.39,0
139915408,Meng,654,Deutschland,m,55,3,87485.67,1,1,1,3299.01,0
139777775,Tseng,690,England,f,48,2,0.0,2,1,1,3149.1,0
139809885,Miller,719,England,m,35,3,122964.88,1,1,1,138231.7,0
139851607,Fane,715,Deutschland,f,33,3,85227.84,1,1,1,68087.15,0
139875596,Somadina,704,Deutschland,f,33,0,130499.09,2,1,1,74804.36,0
139849238,Zetticci,512,England,m,36,1,0.0,1,0,1,135482.26,1
139856362,Victor,734,England,f,37,0,152760.24,1,1,1,48990.5,0
139723538,Hs?,751,Deutschland,f,48,9,0.0,1,1,0,137508.42,1
139813720,Chinomso,650,Deutschland,m,34,4,106005.54,1,0,1,142995.32,0
139902557,Alexeieva,700,Deutschland,m,37,1,135179.49,1,1,0,160670.37,0
139789314,Cruz,687,Deutschland,m,38,9,122570.87,1,1,1,35608.88,0
139841351,Sadlier,411,Deutschland,f,36,10,0.0,1,0,0,120694.35,0
139841502,Alley,638,England,m,44,9,77637.35,2,1,1,111346.22,0
139741182,Nixon,621,Frankreich,f,31,8,100375.39,1,1,1,90384.26,0
139856874,Mitchell,604,Deutschland,m,34,7,0.0,2,1,1,188078.55,0
139696371,Pisano,594,Frankreich,f,32,4,120074.97,2,1,1,162961.79,0
139901000,Beyer,817,Frankreich,f,27,7,129810.6,1,1,1,59259.44,0
139791030,Gray,666,Deutschland,f,34,9,115897.12,1,1,1,25095.03,0
139867568,Thurgood,757,England,m,44,5,140856.16,2,1,0,158735.1,0
139825297,Briggs,513,Deutschland,f,37,6,0.0,2,1,0,110142.34,0
139866705,Zhdanov,608,England,f,41,3,89763.84,1,0,0,199304.74,1
139794061,Bell,535,Deutschland,f,31,7,111855.04,2,1,1,36278.89,0
139779524,Warren,581,England,f,50,4,0.0,2,1,1,80701.72,0
139856385,Davis,638,England,f,55,2,155828.22,1,0,1,108987.25,1
139924425,Napolitani,509,England,m,38,2,0.0,1,0,0,168460.12,0
139838190,Romano,714,Deutschland,m,63,4,138082.16,1,0,1,166677.54,0
139922277,Pickering,525,England,f,57,2,145965.33,1,1,1,64448.36,0
139805126,Panicucci,814,Frankreich,m,29,8,97086.4,2,1,1,197276.13,0
139826363,Ferri,585,Frankreich,m,44,7,163867.86,1,1,1,112333.22,0
139915125,Tsai,651,Frankreich,f,37,10,117791.06,2,1,1,75837.58,0
139891070,Esposito,573,Frankreich,m,31,0,134644.19,1,1,1,70381.49,0
139796919,Loggia,658,Deutschland,m,31,5,100082.14,1,0,1,49809.88,0
139750194,Onyemauchechukwu,838,England,f,41,5,0.0,2,1,0,81313.51,0
139803849,Eluemuno,427,Deutschland,m,37,5,0.0,2,1,1,121485.1,0
139761680,Iroawuchi,754,England,f,32,7,0.0,2,1,0,89520.75,0
139919006,McKay,841,Deutschland,f,52,5,0.0,1,0,0,183239.71,1
139887005,Frater,538,Deutschland,f,33,5,0.0,2,1,0,126962.41,0
139783232,Montemayor,616,Deutschland,m,31,3,94263.91,2,1,0,168895.06,0
139897148,Carvosso,705,Frankreich,f,44,10,106731.58,1,1,0,137419.87,1
139860297,T'ien,723,Frankreich,f,28,5,91938.31,1,1,0,143481.85,0
139715601,Mason,554,Deutschland,f,39,10,0.0,2,1,1,18391.93,0
139862500,Bruce,701,Frankreich,m,32,5,102500.34,1,0,0,106287.77,0
139740781,Aksyonova,658,England,f,31,2,36566.96,1,1,0,103644.98,1
139770798,Wang,671,England,m,32,6,123912.78,2,1,1,146636.44,0
139868186,Binder,625,Deutschland,f,37,7,115895.42,1,1,0,48486.25,0
139807541,Monaldo,498,Deutschland,f,31,10,0.0,2,1,0,13892.57,0
139819491,Trevisano,631,Deutschland,f,34,4,124379.14,1,1,0,106892.91,0
139892852,Abdulov,834,Deutschland,f,28,6,0.0,1,1,0,74287.53,0
139897861,Shipp,546,Deutschland,f,20,6,0.0,1,0,1,20508.85,0
139716904,Hunter,594,Frankreich,f,29,3,130830.22,1,1,0,61048.53,0
139869340,Norton,766,Deutschland,f,26,3,104258.8,1,1,1,428.23,0
139798356,Potter,757,Deutschland,m,38,0,0.0,1,1,0,83263.06,0
139736965,Folliero,700,England,m,31,7,0.0,2,0,1,145151.96,0
139713997,Hsu,664,Deutschland,f,31,9,114519.57,2,0,1,79222.02,0
139729656,Hargreaves,674,Deutschland,f,32,7,85757.93,1,1,1,95481.0,0
139728897,Scott,684,Deutschland,f,25,1,0.0,2,0,1,144978.47,0
139690483,Wang,556,Deutschland,f,46,10,0.0,2,0,0,109184.24,0
139739244,Terry,512,England,m,33,3,176666.62,1,1,0,94670.77,0
139740988,Colbert,790,England,f,41,7,109508.68,1,0,0,86776.38,0
139703566,Tung,768,Deutschland,m,30,6,0.0,2,1,1,199454.37,0
139708240,Teng,643,England,m,43,1,0.0,2,1,1,145764.4,0
139742602,Horton,705,Frankreich,m,41,4,72252.64,2,1,1,142514.66,0
139770256,Butcher,645,Deutschland,f,55,7,0.0,2,1,1,18369.33,0
139698740,Yeh,507,Deutschland,m,33,7,0.0,2,1,1,85411.01,0
139849414,Chinedum,646,Deutschland,f,30,5,0.0,2,1,0,13935.32,0
139759518,Morrison,686,Frankreich,f,47,5,170935.94,1,1,0,173179.79,1
139752933,Igwebuike,850,Frankreich,f,25,8,69385.17,2,1,0,87834.24,0
139717411,Taylor,574,Deutschland,m,26,8,97460.1,1,1,1,43093.67,0
139701677,Goloubev,697,Deutschland,f,42,1,0.0,1,1,0,1262.83,1
139809917,Tien,601,Frankreich,f,54,1,131039.97,2,1,1,199661.5,0
139904169,Mazzanti,470,Deutschland,f,25,8,127974.06,2,1,1,183259.35,0
139854297,Hs?,640,England,f,46,8,0.0,2,1,0,89043.19,0
139767017,Ferrari,698,Frankreich,f,40,8,150777.1,1,1,0,114732.62,0
139769221,Chikezie,657,Deutschland,m,33,1,84309.57,2,0,0,103914.4,0
139921028,Marshall,646,Deutschland,m,38,7,0.0,2,1,0,1528.4,0
139854921,Morrison,659,Frankreich,m,39,8,52106.33,2,1,1,107964.36,0
139769272,Chia,806,Frankreich,m,30,8,168078.83,1,1,0,85028.36,1
139699039,Yao,628,England,f,39,8,107553.33,1,1,0,117523.41,0
139752613,Muir,640,England,m,36,4,0.0,1,0,0,173016.46,0
139742515,Clark,690,Deutschland,m,38,1,94456.0,2,0,1,55034.02,0
139735234,Nweke,632,England,f,40,3,109740.62,1,1,0,141896.74,0
139690181,Millar,609,Deutschland,m,32,7,71872.19,1,1,1,151924.9,0
139680881,Bennelong,607,Frankreich,m,36,10,106702.94,2,0,0,198313.69,0
139889633,Yen,639,England,f,28,8,97840.72,1,1,1,178222.77,0
139856356,Trevisano,788,England,m,36,10,109632.85,1,1,1,16149.13,0
139746477,Graham,727,Frankreich,m,37,9,101191.83,1,1,1,34551.35,1
139763763,Dunn,588,Deutschland,m,40,5,0.0,2,0,0,100727.68,0
139920530,Onio,598,Deutschland,m,64,1,0.0,2,1,0,195635.3,1
139909496,Ritchie,707,England,m,32,9,0.0,2,1,0,126475.79,0
139803251,Crawford,656,Deutschland,m,43,7,134919.85,1,1,0,194691.95,0
139684149,Mackay,589,Deutschland,m,37,5,0.0,1,1,0,61324.87,0
139696822,H?,704,Deutschland,m,39,2,111525.02,1,1,0,199484.96,0
139924388,Welch,582,Deutschland,f,29,0,0.0,1,1,1,84012.81,0
139873156,Chukwueloka,678,Deutschland,f,43,7,178074.33,1,0,0,110405.9,0
139904867,Chin,663,England,f,28,8,61274.7,2,1,0,136054.45,0
139857776,Nkemdilim,562,Deutschland,f,57,3,0.0,3,1,0,6554.97,1
139748174,Rischbieth,714,Frankreich,f,36,1,101609.01,2,1,1,447.73,0
139771374,Ferguson,637,Frankreich,f,55,1,123378.2,1,1,0,81431.99,1
139745586,Calabrese,581,England,m,30,0,53291.86,1,0,0,196582.28,0
139845407,De Luca,606,England,f,53,1,109330.06,1,1,1,75860.01,0
139798806,K'ung,770,Deutschland,m,31,3,155047.56,2,1,1,186064.34,0
139801573,Onwumelu,468,Deutschland,f,32,8,137649.47,1,0,0,198714.29,0
139702263,Lu,699,England,m,26,6,79932.41,1,0,0,150242.44,0
139750973,Yeh,679,England,m,42,2,0.0,1,1,1,168294.27,0
139803678,Cherkasova,750,Deutschland,f,38,1,0.0,2,1,0,47764.99,0
139715108,Yao,638,Frankreich,f,39,0,122501.28,2,1,1,95007.8,0
139898182,Wilkins,669,Deutschland,m,37,1,125529.55,1,1,1,162260.93,0
139842591,Larionova,558,Deutschland,m,33,0,108477.49,1,1,1,109096.71,1
139837999,Corson,594,Frankreich,f,26,6,135067.52,2,0,0,131211.86,0
139678286,Brizendine,535,Frankreich,m,20,9,134874.4,1,1,1,118825.56,0
139723125,McGregor,590,England,m,37,6,169902.92,1,1,1,128256.18,0
139768308,Kerr,613,Frankreich,m,69,9,78778.49,1,0,1,8751.59,0
139879636,Sukhorukova,585,Frankreich,m,36,5,146050.97,2,0,0,86424.57,0
139810832,Yen,807,Deutschland,m,42,7,118274.71,1,1,1,25885.72,0
139874508,Chiu,700,England,f,40,2,0.0,2,1,0,199753.97,0
139745283,Pisani,781,Deutschland,m,20,0,125023.1,2,1,1,108301.45,0
139885759,Booth,630,Deutschland,m,37,6,0.0,2,1,1,82647.65,0
139695124,Steinhoff,616,England,m,31,7,76665.71,2,1,1,163809.08,0
139775273,Howells,563,England,m,32,6,0.0,2,1,1,19720.08,0
139864691,Tan,611,Deutschland,m,28,2,0.0,2,0,0,25395.83,0
139727972,Nebechukwu,613,England,m,34,3,0.0,1,1,1,41724.72,0
139836332,Bateson,665,England,m,38,9,0.0,1,0,1,87412.74,0
139699566,Ball,677,Deutschland,f,27,2,0.0,2,0,1,114685.92,0
139802956,Boni,592,Deutschland,m,60,9,0.0,4,1,1,13614.01,1
139812795,Kung,611,England,f,28,3,96381.68,2,1,0,181419.29,0
139873581,Beneventi,608,Deutschland,m,42,5,0.0,2,1,0,178504.29,0
139680038,Hurst,544,Deutschland,m,64,9,113829.45,1,1,1,124341.49,0
139773510,Maslow,743,Deutschland,m,40,8,68155.59,1,1,0,94876.65,0
139729614,Ohearn,669,Deutschland,f,33,9,0.0,2,0,1,107221.03,0
139923715,Boan,693,Frankreich,m,44,5,124601.58,2,1,1,46998.13,1
139751907,Kryukov,605,Deutschland,m,41,5,91612.91,1,1,1,28427.84,0
139810315,Smith,633,England,f,39,2,0.0,2,0,0,191207.03,0
139856426,Goddard,712,England,m,47,1,139887.01,1,1,1,95719.73,0
139746945,Chu,443,Deutschland,m,44,2,0.0,1,1,0,159165.7,0
139840360,Moretti,598,Deutschland,m,48,6,120682.53,1,1,0,30635.52,1
139753837,Booth,529,England,m,35,5,0.0,2,1,1,187288.5,0
139850397,Aliyeva,551,Deutschland,m,35,7,129717.3,2,0,0,86937.2,0
139736039,Williamson,534,Deutschland,f,23,5,104822.45,1,0,1,160176.47,0
139806917,Tuan,583,Deutschland,m,33,7,122531.86,1,1,0,13549.24,0
139807804,Yuan,648,Frankreich,m,31,7,125681.51,1,0,1,129980.93,0
139702409,Sun,729,Frankreich,f,42,4,97495.8,2,0,0,2002.5,0
139831952,Simpson,696,Deutschland,m,34,9,150856.79,1,0,1,8236.78,0
139879236,Clancy,819,Deutschland,f,38,10,0.0,2,1,0,30498.7,0
139889811,Chukwukere,552,Frankreich,m,50,4,121175.56,1,1,0,117505.07,1
139757817,Hall,766,Frankreich,f,28,3,62717.84,2,1,1,13182.43,0
139692766,Bevan,488,Frankreich,f,28,7,139246.22,2,1,0,106799.49,0
139805643,Ledford,693,Deutschland,m,36,8,178111.82,1,0,0,58719.63,1
139878052,McKay,655,Deutschland,f,47,10,0.0,2,1,0,167778.62,0
139904050,Wu,769,Deutschland,f,38,2,0.0,2,0,0,75578.67,0
139704208,Anenechi,637,Deutschland,m,40,8,125470.81,1,1,1,174536.17,0
139923767,Ch'iu,779,Deutschland,m,27,1,0.0,2,1,1,190623.02,0
139767505,Piccio,637,Deutschland,f,33,7,103377.81,1,1,0,84419.78,0
139924575,Nkemakolam,696,Frankreich,m,30,4,114027.7,1,1,1,193716.56,0
139780138,Forbes,536,Deutschland,f,22,5,89492.62,1,0,0,42934.43,0
139869031,Trevisano,526,Deutschland,m,30,9,0.0,2,0,0,100995.68,0
139714766,Udegbulam,660,England,f,33,1,0.0,2,0,0,117834.91,0
139844457,Clendinnen,813,Deutschland,f,62,10,64667.95,2,0,1,140454.14,0
139802272,Tu,430,Frankreich,m,49,3,137115.16,1,1,0,146516.86,1
139846871,Castiglione,673,England,f,37,0,0.0,2,0,0,82351.06,0
139923640,Lombardi,850,Deutschland,m,38,7,80293.98,1,0,0,126555.74,0
139792054,Munro,663,Deutschland,m,67,9,0.0,3,1,1,72318.77,0
139852492,Poole,577,Deutschland,m,29,7,0.0,2,1,1,55473.15,0
139776664,Small,630,Deutschland,m,26,7,129837.72,2,0,1,197001.15,0
139860983,Bryant,585,Deutschland,m,36,7,0.0,2,1,0,94283.09,0
139777624,Chukwudi,650,Deutschland,m,33,0,98064.97,1,1,0,52411.99,0
139913101,Dubinina,580,Deutschland,m,55,6,104305.74,1,0,1,175750.21,0
139725405,Pisano,499,Deutschland,f,38,9,0.0,2,0,1,183042.2,0
139830708,Matthews,589,Deutschland,m,46,9,0.0,2,1,0,170676.67,0
139852343,Munro,589,Deutschland,m,34,6,0.0,2,1,1,177896.92,0
139752309,Feng,718,Deutschland,f,29,3,0.0,1,0,1,134462.29,0
139726159,Chadwick,515,Deutschland,f,37,0,196853.62,1,1,1,132770.11,0
139757043,Quinn,739,England,f,27,8,98926.4,1,1,1,106969.98,0
139804187,Carpenter,512,Deutschland,m,36,4,152169.12,2,0,0,38629.3,1
139899574,Baresi,653,Deutschland,m,47,6,0.0,1,1,0,50695.93,1
139791406,Mao,737,Frankreich,m,43,8,96353.8,1,0,0,10209.8,0
139808761,Iweobiegbulam,771,Frankreich,m,32,9,77487.2,1,0,0,33143.04,0
139846413,Chang,835,England,m,38,7,86824.09,1,0,0,175905.97,0
139870477,Chuang,654,Deutschland,m,36,2,112262.84,1,1,0,12873.39,0
139766907,Yeh,640,Deutschland,f,67,3,0.0,1,0,1,42964.63,0
139901940,Fleetwood-Smith,503,England,m,37,6,0.0,2,0,0,136506.86,0
139776553,Johnson,515,Deutschland,f,25,7,79543.59,1,0,1,38772.82,0
139833765,Ch'ang,655,England,f,78,2,0.0,2,0,1,188435.38,0
139912909,Fu,574,Deutschland,f,39,2,122524.61,2,1,0,88463.63,0
